Dia;       Wednesday, 06. July 2022;  Hora de Inicio;    15:52:49
Hora [HH:MM:SS]; Temperatura[Celsius];  Humedad[%];  OK?[I/O]
15:59:10; 28.40; 37.00;  1
15:59:11; 28.40; 37.00;  1
15:59:12; 28.40; 37.00;  1
15:59:13; 28.40; 37.00;  1
15:59:14; 28.40; 37.00;  1
15:59:15; 28.40; 37.00;  1
15:59:16; 28.40; 37.00;  1
15:59:17; 28.40; 37.00;  1
15:59:18; 28.40; 37.00;  1
15:59:19; 28.40; 37.00;  1
15:59:20; 28.40; 37.00;  1
15:59:21; 28.40; 37.00;  1
15:59:22; 28.40; 37.00;  1
15:59:23; 28.40; 37.00;  1
15:59:24; 28.40; 37.00;  1
15:59:25; 28.40; 37.00;  1
15:59:26; 28.40; 37.00;  1
15:59:27; 28.40; 37.00;  1
15:59:28; 28.40; 37.00;  1
15:59:29; 28.40; 37.00;  1
15:59:30; 28.40; 37.00;  1
15:59:31; 28.40; 37.00;  1
15:59:32; 28.40; 37.00;  1
15:59:33; 28.40; 37.00;  1
15:59:34; 28.40; 37.00;  1
15:59:36; 28.40; 37.00;  1
15:59:37; 28.40; 37.00;  1
15:59:38; 28.40; 37.00;  1
15:59:39; 28.40; 37.00;  1
15:59:40; 28.40; 37.00;  1
15:59:41; 28.40; 37.00;  1
15:59:42; 28.40; 37.00;  1
15:59:43; 28.40; 37.00;  1
15:59:44; 28.40; 37.00;  1
15:59:45; 28.40; 37.00;  1
15:59:46; 28.40; 37.00;  1
15:59:47; 28.40; 37.00;  1
15:59:48; 28.40; 37.00;  1
15:59:49; 28.40; 37.00;  1
15:59:50; 28.40; 37.00;  1
15:59:51; 28.40; 37.00;  1
15:59:52; 28.40; 37.00;  1
15:59:53; 28.40; 37.00;  1
15:59:54; 28.40; 37.00;  1
15:59:55; 28.40; 37.00;  1
15:59:56; 28.40; 37.00;  1
15:59:57; 28.40; 37.00;  1
15:59:58; 28.40; 37.00;  1
15:59:59; 28.40; 37.00;  1
16:00:00; 28.40; 37.00;  1
16:00:01; 28.40; 37.00;  1
16:00:02; 28.40; 37.00;  1
16:00:03; 28.40; 37.00;  1
16:00:04; 28.40; 37.00;  1
16:00:05; 28.40; 37.00;  1
16:00:06; 28.40; 37.00;  1
16:00:07; 28.40; 37.00;  1
16:00:08; 28.40; 37.00;  1
16:00:09; 28.40; 37.00;  1
16:00:10; 28.40; 37.00;  1
16:00:11; 28.40; 37.00;  1
16:00:12; 28.40; 37.00;  1
16:00:13; 28.40; 37.00;  1
16:00:14; 28.40; 37.00;  1
16:00:15; 28.40; 37.00;  1
16:00:16; 28.40; 37.00;  1
16:00:17; 28.40; 37.00;  1
16:00:18; 28.40; 37.00;  1
16:00:19; 28.40; 37.00;  1
16:00:20; 28.40; 37.00;  1
16:00:21; 28.40; 37.00;  1
16:00:22; 28.40; 37.00;  1
16:00:23; 28.40; 37.00;  1
16:00:24; 28.40; 37.00;  1
16:00:25; 28.40; 37.00;  1
16:00:26; 28.40; 37.00;  1
16:00:27; 28.40; 37.00;  1
16:00:28; 28.40; 37.00;  1
16:00:29; 28.40; 37.00;  1
16:00:30; 28.40; 37.00;  1
16:00:31; 28.40; 37.00;  1
16:00:32; 28.40; 37.00;  1
16:00:33; 28.40; 37.00;  1
16:00:34; 28.40; 37.00;  1
16:00:35; 28.40; 37.00;  1
16:00:36; 28.40; 37.00;  1
16:00:37; 28.40; 37.00;  1
16:00:38; 28.40; 37.00;  1
16:00:39; 28.40; 37.00;  1
16:00:40; 28.40; 37.00;  1
16:00:41; 28.40; 37.00;  1
16:00:42; 28.40; 37.00;  1
16:00:43; 28.40; 37.00;  1
16:00:44; 28.40; 37.00;  1
16:00:45; 28.40; 37.00;  1
16:00:46; 28.40; 37.00;  1
16:00:47; 28.40; 37.00;  1
16:00:48; 28.40; 37.00;  1
16:00:49; 28.40; 37.00;  1
16:00:50; 28.40; 37.00;  1
16:00:51; 28.40; 37.00;  1
