Dia;       Friday, 03. February 2023;  Hora de Inicio;    07:34:33
Hora [HH:MM:SS]; Temperatura[Celsius];  Humedad[%];  OK?[I/O]
09:00:46; 21.60; 28.00;  0
09:00:56; 21.60; 28.00;  0
09:01:06; 21.60; 28.00;  0
09:01:16; 21.60; 28.00;  0
09:01:27; 21.70; 28.00;  0
09:01:37; 21.70; 28.00;  0
09:01:48; 21.70; 28.00;  0
09:01:58; 21.70; 28.00;  0
09:02:09; 21.70; 28.00;  0
09:02:19; 21.70; 28.00;  0
09:02:29; 21.70; 28.00;  0
09:02:39; 21.70; 28.00;  0
09:02:50; 21.80; 27.00;  0
09:03:00; 21.70; 27.00;  0
09:03:10; 21.80; 27.00;  0
09:03:20; 21.80; 27.00;  0
09:03:31; 21.80; 27.00;  0
09:03:42; 21.80; 27.00;  0
09:03:52; 21.80; 27.00;  0
09:04:03; 21.70; 27.00;  0
09:04:13; 21.70; 27.00;  0
09:04:23; 21.70; 27.00;  0
09:04:33; 21.70; 27.00;  0
09:04:44; 21.80; 27.00;  0
09:04:54; 21.70; 27.00;  0
09:05:04; 21.70; 27.00;  0
09:05:14; 21.70; 27.00;  0
09:05:25; 21.80; 27.00;  0
09:05:35; 21.80; 27.00;  0
09:05:46; 21.80; 27.00;  0
09:05:56; 21.80; 27.00;  0
09:06:07; 21.90; 27.00;  0
09:06:17; 21.90; 27.00;  0
09:06:27; 21.80; 27.00;  0
09:06:37; 21.90; 27.00;  0
09:06:48; 21.80; 27.00;  0
09:06:58; 21.90; 27.00;  0
09:07:08; 21.80; 27.00;  0
09:07:18; 21.80; 27.00;  0
09:07:29; 21.90; 27.00;  0
09:07:39; 21.80; 27.00;  0
09:07:50; 21.80; 27.00;  0
09:08:01; 21.80; 27.00;  0
09:08:11; 21.80; 27.00;  0
09:08:21; 21.80; 27.00;  0
09:08:31; 21.80; 27.00;  0
09:08:42; 21.90; 27.00;  0
09:08:52; 21.80; 27.00;  0
09:09:02; 21.90; 27.00;  0
09:09:12; 21.90; 27.00;  0
09:09:23; 22.00; 27.00;  0
09:09:33; 21.90; 27.00;  0
09:09:44; 22.00; 27.00;  0
09:09:54; 21.90; 27.00;  0
09:10:05; 21.90; 27.00;  0
09:10:15; 22.00; 27.00;  0
09:10:25; 22.00; 27.00;  0
09:10:35; 22.00; 27.00;  0
09:10:46; 22.00; 26.00;  0
09:10:56; 22.00; 26.00;  0
09:11:06; 22.00; 26.00;  0
09:11:16; 22.00; 27.00;  0
09:11:27; 22.00; 27.00;  0
09:11:37; 22.00; 27.00;  0
09:11:48; 22.00; 27.00;  0
09:11:58; 22.00; 27.00;  0
09:12:09; 22.00; 27.00;  0
09:12:19; 22.00; 27.00;  0
09:12:29; 22.00; 27.00;  0
09:12:39; 22.00; 27.00;  0
09:12:50; 22.00; 27.00;  0
09:13:00; 22.00; 26.00;  0
09:13:10; 22.00; 26.00;  0
09:13:20; 22.00; 26.00;  0
09:13:31; 22.10; 26.00;  0
09:13:42; 22.00; 26.00;  0
09:13:52; 22.10; 26.00;  0
09:14:03; 22.10; 26.00;  0
09:14:13; 22.10; 26.00;  0
09:14:23; 22.10; 27.00;  0
09:14:33; 22.10; 27.00;  0
09:14:44; 22.10; 27.00;  0
09:14:54; 22.10; 27.00;  0
09:15:04; 22.10; 27.00;  0
09:15:14; 22.10; 27.00;  0
09:15:25; 22.10; 26.00;  0
09:15:35; 22.10; 26.00;  0
09:15:46; 22.10; 26.00;  0
09:15:56; 22.10; 26.00;  0
09:16:06; 22.20; 26.00;  0
09:16:16; 22.10; 26.00;  0
09:16:27; 22.20; 26.00;  0
09:16:37; 22.20; 26.00;  0
09:16:48; 22.20; 25.00;  0
09:16:58; 22.20; 26.00;  0
09:17:09; 22.20; 25.00;  0
09:17:19; 22.20; 25.00;  0
09:17:29; 22.20; 25.00;  0
09:17:39; 22.20; 25.00;  0
09:17:50; 22.30; 25.00;  0
09:18:00; 22.30; 25.00;  0
